python-api-challenge_final
City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,feytiat,45.8091,1.3303,-1.15,80,100,4.63,FR,1704735320
1,san jose del guaviare,2.5729,-72.6459,34.18,36,100,3.53,CO,1704735321
2,kodinsk,58.6881,99.1844,-15.92,94,100,2.25,RU,1704735632
3,vorgashor,67.5833,63.95,-29.63,100,100,1.13,RU,1704735913
4,huarmey,-10.0681,-78.1522,25.79,70,54,5.37,PE,1704735914
5,georgetown,5.4112,100.3354,26.96,92,20,1.54,MY,1704735874
6,port alfred,-33.5906,26.891,18.99,93,99,0.89,ZA,1704735915
7,san patricio,28.017,-97.5169,26.05,69,88,11.04,US,1704735634
8,longyearbyen,78.2186,15.6401,-13.09,78,0,6.17,SJ,1704735734
9,port-aux-francais,-49.35,70.2167,5.77,84,93,12.42,TF,1704735635
10,fale old settlement,-9.3852,-171.2468,28.88,71,61,3.61,TK,1704735635
11,blackmans bay,-43.0167,147.3167,14.07,81,100,2.0,AU,1704735636
12,welland,42.9834,-79.2496,4.49,69,31,3.11,CA,1704735325
13,hailey,43.5196,-114.3153,-11.08,62,0,4.63,US,1704735636
14,arraial do cabo,-22.9661,-42.0278,31.98,70,0,9.26,BR,1704735637
15,isola di capo rizzuto,38.96,17.0933,10.41,76,40,1.03,IT,1704735638
16,ilulissat,69.2167,-51.1,-7.99,62,40,7.72,GL,1704735638
17,bilibino,68.0546,166.4372,-31.32,99,100,1.37,RU,1704735639
18,vicente guerrero,19.1194,-98.1708,18.66,41,57,6.0,MX,1704735640
19,murashi,59.3999,48.9615,-14.08,94,100,4.65,RU,1704735642
20,thompson,55.7435,-97.8558,-34.91,68,75,0.0,CA,1704735643
21,shilin,24.8188,103.3324,5.86,63,2,1.17,CN,1704735644
22,port saint john's,-31.6229,29.5448,21.52,83,99,0.2,ZA,1704735644
23,khilok,51.3674,110.4676,-20.9,98,46,1.58,RU,1704735645
24,adamstown,-25.066,-130.1015,23.35,84,100,6.2,PN,1704735646
25,hawaiian paradise park,19.5933,-154.9731,21.69,99,0,2.57,US,1704735646
26,north bend,43.4065,-124.2243,7.37,93,100,3.09,US,1704735646
27,saipan,15.1355,145.701,26.39,83,20,5.66,MP,1704735647
28,castillos,-34.1667,-53.8333,25.71,58,45,3.86,UY,1704735648
29,grytviken,-54.2811,-36.5092,5.27,85,67,3.86,GS,1704735490
30,college,64.8569,-147.8028,-5.82,86,100,0.0,US,1704735648
31,acapulco de juarez,16.8634,-99.8901,29.9,54,20,0.0,MX,1704735622
32,howrah,22.5892,88.3103,17.0,88,0,1.54,IN,1704735649
33,ushuaia,-54.8,-68.3,11.79,76,75,4.12,AR,1704735650
34,mbandaka,0.0487,18.2603,26.02,66,87,1.93,CD,1704735651
35,keflavik,64.0049,-22.5624,8.24,81,100,13.38,IS,1704735518
36,alpine,32.835,-116.7664,10.58,38,0,0.89,US,1704735651
37,ugoofaaru,5.6667,73.0,27.81,74,94,1.91,MV,1704735652
38,tiksi,71.6872,128.8694,-36.23,97,72,4.4,RU,1704735653
39,sandnessjoen,66.0217,12.6316,4.29,93,75,6.17,NO,1704735653
40,qaqortoq,60.7167,-46.0333,3.42,73,53,6.61,GL,1704735571
41,margaret river,-33.95,115.0667,16.42,86,96,4.91,AU,1704735491
42,aykhal,66.0,111.5,-31.28,98,13,1.25,RU,1704735654
43,isangel,-19.55,169.2667,25.76,89,77,2.15,VU,1704735654
44,klyuchi,52.2667,79.1667,-9.54,79,56,9.24,RU,1704735655
45,port lincoln,-34.7333,135.8667,16.67,79,59,3.72,AU,1704735655
46,bafoulabe,13.8065,-10.8321,34.67,9,1,1.24,ML,1704735655
47,cidreira,-30.1811,-50.2056,30.5,55,98,5.55,BR,1704735656
48,la plata,-34.9215,-57.9545,31.01,39,2,3.64,AR,1704735656
49,kas,36.2018,29.6377,14.65,85,100,1.47,TR,1704735656
50,mount pearl,47.5166,-52.7813,-2.7,88,99,5.36,CA,1704735657
51,macon,39.8667,-88.9668,2.15,80,0,5.14,US,1704735631
52,edinburgh of the seven seas,-37.0676,-12.3116,18.08,93,100,13.01,SH,1704735657
53,khark,29.2614,50.3306,18.88,50,36,3.56,IR,1704735658
54,pala,9.3642,14.9046,25.7,12,2,2.88,TD,1704735658
55,ghadamis,30.1337,9.5007,12.1,35,0,3.69,LY,1704735658
56,chonchi,-42.6128,-73.8092,16.84,39,72,1.15,CL,1704735659
57,flying fish cove,-10.4217,105.6791,24.82,100,96,1.54,CX,1704735659
58,shalkar,47.8288,59.6258,-9.47,72,21,3.82,KZ,1704735659
59,malvan,16.0667,73.4667,25.69,76,58,1.21,IN,1704735660
60,puerto ayora,-0.7393,-90.3518,29.98,93,62,1.79,EC,1704735660
61,puerto natales,-51.7236,-72.4875,13.25,50,40,12.35,CL,1704735661
62,bataipora,-22.2953,-53.2711,42.87,16,10,2.09,BR,1704735661
63,bethel,41.3712,-73.414,5.32,65,0,3.09,US,1704735509
64,iskateley,67.6803,53.1512,-24.32,100,61,2.46,RU,1704735663
65,margate,51.3813,1.3862,2.05,68,100,3.13,GB,1704735528
66,anadyr,64.75,177.4833,-15.72,85,100,6.0,RU,1704735665
67,chipinge,-20.1883,32.6236,19.22,88,31,2.16,ZW,1704735666
68,nova sintra,14.8667,-24.7167,21.34,69,81,8.7,CV,1704735667
69,yaren,-0.5472,166.916,28.86,73,83,4.36,NR,1704735668
70,nouadhibou,20.931,-17.0347,23.99,53,0,6.17,MR,1704735668
71,olonkinbyen,70.9221,-8.7187,1.45,98,100,8.73,SJ,1704735669
72,pacasmayo,-7.4006,-79.5714,25.24,70,57,5.53,PE,1704735670
73,coahuayana de hidalgo,18.7,-103.6583,28.95,51,35,2.18,MX,1704735671
74,papatowai,-46.5619,169.4708,14.55,74,100,2.4,NZ,1704735672
75,beyneu,45.3167,55.2,1.7,75,99,7.33,KZ,1704735672
76,albany,42.6001,-73.9662,3.3,70,8,1.34,US,1704735453
77,wailua homesteads,22.0669,-159.378,21.44,91,100,5.14,US,1704735674
78,coxen hole,16.3244,-86.5366,27.6,69,0,6.69,HN,1704735405
79,hermanus,-34.4187,19.2345,19.58,67,5,7.01,ZA,1704735546
80,santana,-0.0583,-51.1817,28.35,79,88,3.1,BR,1704735675
81,fasa,28.9383,53.6482,4.58,33,0,0.0,IR,1704735676
82,talnakh,69.4865,88.3972,-25.24,91,100,3.27,RU,1704735676
83,kristiansund,63.1115,7.732,4.36,75,75,5.14,NO,1704735677
84,west island,-12.1568,96.8225,26.99,83,40,7.2,CC,1704735677
85,alice springs,-23.7,133.8833,26.79,47,53,2.24,AU,1704735594
86,waitangi,-43.9535,-176.5597,16.01,90,93,0.89,NZ,1704735678
87,toba,34.4833,136.85,2.0,63,66,5.61,JP,1704735679
88,naantali,60.4674,22.0243,-2.77,93,100,1.54,FI,1704735679
89,port elizabeth,-33.918,25.5701,20.16,84,20,3.09,ZA,1704735680
90,petropavlovsk-kamchatsky,53.0452,158.6483,-20.67,77,0,5.0,RU,1704735681
91,rongelap,11.1635,166.8941,27.83,66,100,9.93,MH,1704735681
92,lebu,-37.6167,-73.65,17.12,69,0,7.71,CL,1704735682
93,gadzhiyevo,69.2551,33.3362,-11.71,97,100,2.73,RU,1704735591
94,tsiombe,-25.3,45.4833,24.33,85,30,6.96,MG,1704735683
